Imagen,ID,X,Y,Width,Height,Área,Perímetro,Circularidad,Contraste,Energía,Homogeneidad,Cluster Shade,Cluster Prominencia,Correlación Haralick,Entropía
1.png,32,1076,617,131,111,8607,392.1320314,0.703391359,32.86680527,0.121400163,0.535198823,1239001.887,355637136.5,0.99493334,9.013203973
1.png,33,1578,571,22,86,1355,190.9116871,0.467179877,53.1179402,0.110425906,0.538664578,264316.3307,50075910.9,0.978354041,7.865231138
1.png,34,750,571,112,107,9124,359.0193331,0.889527684,28.9907384,0.102018649,0.521525234,131723.9056,80578707.88,0.992014769,8.736760734
1.png,35,989,547,121,122,11010.5,393.5462439,0.893357652,31.44651639,0.07991418,0.506588872,412322.8976,118553555.5,0.991682665,9.56468596
1.png,36,99,535,113,100,7234.5,330.0315261,0.834656019,23.88491071,0.089728767,0.511974836,-119638.2352,245306875.3,0.995840401,9.522482011
1.png,37,153,483,108,111,7905,341.4457406,0.852056393,30.70362886,0.099803946,0.521667115,227879.4024,253954660.4,0.994828615,9.567569412
1.png,38,1162,446,112,99,8551.5,348.2914113,0.885863145,31.51915552,0.11978789,0.529215937,231069.176,105686806.5,0.991986709,8.938017488
1.png,39,1033,444,113,107,9206,361.0193328,0.88760536,23.04022029,0.090602961,0.518197134,180945.2386,82899168.98,0.993672827,9.031607141
1.png,40,1279,418,113,113,9937.5,373.6051202,0.894666893,43.6289507,0.100498576,0.441657886,143555.6724,132013223.5,0.990420735,9.587546334
1.png,41,1573,396,27,85,1642,195.3969685,0.540439861,79.07828054,0.12194717,0.42584581,719912.0567,184980052.9,0.984759796,8.34377687
1.png,42,762,395,99,105,8007,336.0487707,0.890994597,37.36355685,0.105216626,0.540394907,1140474.367,313347081.7,0.994184402,8.743635866
1.png,43,434,381,82,123,7078.5,336.2914109,0.786537711,50.80066245,0.171515707,0.610888656,1098940.944,362140610.4,0.993446518,7.760694239
1.png,44,1347,335,107,99,7964.5,337.1198386,0.880642742,25.70907185,0.088559108,0.515425774,356615.2222,90205660.48,0.992428743,9.110701647
1.png,45,1457,302,119,120,10661.5,389.0609636,0.885101056,33.48305085,0.143740454,0.519159597,81844.43914,123115578.3,0.992576403,9.068637151
1.png,46,1168,278,117,126,11485.5,401.7472547,0.894239675,27.9043514,0.122767406,0.56332419,-89649.80719,125807242.6,0.993943853,8.916565261
1.png,47,228,248,85,125,7400.5,340.4335463,0.802428286,46.14609524,0.224914597,0.656671442,1052067.613,328583740.2,0.993759732,7.081754715
1.png,48,0,247,39,108,3211.5,263.6396092,0.58062599,53.46442495,0.113771725,0.489067118,633218.4024,196139116.6,0.989144349,9.018151203
1.png,49,542,242,128,150,13873.5,453.0020885,0.849562812,30.74461942,0.125663053,0.439365336,-534650.1014,1098677551,0.997499298,10.38680496
1.png,50,709,183,105,117,9456,367.0193347,0.88214391,50.96531887,0.078035108,0.52033027,204524.0126,119317499.9,0.986506721,9.803856572
1.png,51,0,174,33,72,1773.5,185.497474,0.647686816,36.05164931,0.060118723,0.39635406,17900.68772,62725627.99,0.984602444,9.371050953
1.png,52,805,159,129,110,9949.5,383.2030989,0.85143813,62.04602273,0.118442009,0.420285343,1783567.633,1578181349,0.996195271,10.42553536
1.png,53,0,159,8,12,67.5,33.07106769,0.775563219,1.928571429,0.385298865,0.788384668,1137.020624,37456.74787,0.937910077,3.651370507
1.png,54,84,131,106,109,8975.5,353.9482644,0.900303506,28.58523373,0.118071299,0.520228173,17482.70814,65893427.3,0.991717133,8.772083802
1.png,55,458,130,112,106,9012,359.3624793,0.876931328,25.43302737,0.06390421,0.485618219,-48364.56989,118568156.7,0.993761928,9.906144322
1.png,56,633,112,109,101,8371.5,343.6051209,0.891033208,31.93344334,0.089564287,0.460603067,232029.4019,95022928.75,0.991148334,9.733812302
1.png,57,375,85,112,97,6954,322.6173131,0.839593776,16.18222346,0.100849189,0.510460348,550714.4511,188226064.3,0.996681319,9.358884941
1.png,58,1171,35,108,118,9860,376.190905,0.875528315,31.64992872,0.08706738,0.529271328,444972.0948,119142798.8,0.991856177,9.137515031
1.png,59,292,15,111,124,10170.5,383.0609645,0.870996425,26.83218475,0.093620208,0.466253492,214148.4007,100444257.4,0.992741177,9.600858907
1.png,60,178,5,111,119,10319.5,380.4335458,0.896005982,24.20626432,0.106823452,0.485987984,-123704.9573,113836817.8,0.994204864,9.395463029
1.png,61,1371,0,115,99,9044.5,355.4629844,0.899509307,32.17526139,0.11141879,0.496875681,-48495.58662,83472031.78,0.991626754,9.077915488
1.png,62,1268,0,99,57,3052,264.4507918,0.548409096,25.94539921,0.102833976,0.614438457,63886.62224,102284602,0.993071358,8.784285129
1.png,63,1254,0,34,32,678.5,111.497475,0.685850802,61.90814394,0.115921624,0.424311679,180059.9705,91580076.46,0.977035756,8.362549442
1.png,64,1211,0,42,30,740.5,115.9827558,0.691748267,35.25447154,0.087633452,0.399782547,522613.3273,103240307.7,0.986924334,8.237314564
1.png,65,1145,0,92,45,2490.5,236.5512992,0.559301179,23.88058608,0.083342434,0.496588879,394323.1671,89815873.73,0.992236126,8.738410024
1.png,66,754,0,111,67,4470,361.7644993,0.429205713,25.39864315,0.106895234,0.541780638,87474.905,70468341.24,0.992542605,8.688738336
1.png,67,37,0,134,119,11930,436.1909059,0.787947159,32.07847349,0.163018341,0.595444644,576163.989,338656745.6,0.99562414,8.800677741
10.png,0,839,1075,111,109,9071,358.6761866,0.886053496,20.2676397,0.095910487,0.621346492,956920.7692,239511334.2,0.996326827,8.330202684
10.png,1,107,937,110,115,9529,371.0193326,0.869889545,19.43015556,0.132385386,0.679828031,775281.1019,168428685.5,0.995671458,7.763685504
10.png,2,1403,891,137,114,10764.5,397.8305147,0.854687875,15.71491228,0.161311894,0.692758224,930502.466,226204613.7,0.997116164,7.55546028
10.png,3,36,840,97,104,7707.5,329.4629831,0.892298462,29.2489984,0.152373528,0.642042778,1141601.405,275908705.4,0.994849871,7.665713686
10.png,4,1200,832,103,98,6283,317.1614703,0.784903162,16.28691477,0.137093664,0.696436802,754159.5144,163606401.4,0.996359317,7.520351688
10.png,5,1239,821,83,44,1986.5,208.4091625,0.574731256,12.24223947,0.14603511,0.665014262,607685.6948,118657971,0.994674908,7.268945216
10.png,6,1503,809,94,126,6760.5,347.5462476,0.703337014,17.54326677,0.170594855,0.699655793,1079476.486,239410332.1,0.996525764,7.071896129
10.png,7,1576,801,24,98,1736,222.4264069,0.440947508,6.123779947,0.242182797,0.760542037,283240.0161,53548153.51,0.993667426,5.868924536
10.png,8,1215,737,104,91,7241,323.9066359,0.86729875,27.31227995,0.120624677,0.607616332,1150767.119,287971902.1,0.995019527,8.309718403
10.png,9,1013,729,131,118,11069,407.303605,0.838458832,13.17750978,0.12256004,0.690890843,592306.4296,135855461.9,0.997000747,7.737487507
10.png,10,0,706,27,85,1577.5,194.8111825,0.522337814,50.30045249,0.17406617,0.525143184,556794.9366,146322349.7,0.989508611,7.170748234
10.png,11,444,671,124,105,9700,373.1614679,0.875362651,14.86635695,0.140437496,0.692840622,737969.1268,161104825.5,0.996656306,7.518374276
10.png,12,318,635,120,127,11483,404.4751775,0.882026189,25.68020909,0.183314008,0.719322826,1102344.319,255638953.7,0.995346854,7.039609037
10.png,13,1436,573,103,92,7215.5,319.8061306,0.886548961,17.83205456,0.127053797,0.629530167,718690.1567,153319175.3,0.995781826,7.865453974
10.png,14,214,565,113,111,9169,359.6467501,0.890798663,22.43991313,0.165709576,0.703946885,898036.3167,211330112.7,0.995804327,7.229705935
10.png,15,86,495,94,81,5997.5,292.6934323,0.879739649,28.91782822,0.106791089,0.602972996,1047830.482,260421211.1,0.994595264,8.55503507
10.png,16,670,478,99,98,7465.5,323.8061289,0.89474367,31.04216993,0.129333649,0.606552282,1288731.463,327938860,0.994913537,8.049226448
10.png,17,1152,454,110,107,8694.5,358.4335475,0.850427264,22.01491897,0.128022457,0.627970205,1310526.957,321338241.5,0.995985998,8.026074834
10.png,18,994,394,116,118,9617.5,382.5756822,0.825728618,18.0275608,0.180216679,0.691067724,610912.9969,130166290.4,0.995740636,7.164229931
10.png,19,1194,382,118,100,8415,352.3330417,0.851838448,16.34615385,0.101628388,0.618777131,932970.4805,208677084,0.996322395,8.516178194
10.png,20,625,376,112,116,9335.5,370.5756814,0.854266971,19.9204722,0.134159206,0.662756993,700313.9677,150084164,0.995261218,7.786186212
10.png,21,66,367,141,127,14158,446.4751761,0.892518316,36.20776153,0.071286084,0.509179806,2376091.507,827411891.1,0.996241015,9.892014826
10.png,22,0,354,39,102,2838,245.1959581,0.593192486,43.08591331,0.174543374,0.634853991,1052687.276,281683289.7,0.993235481,7.192481169
10.png,23,278,328,105,96,7598,327.7056243,0.889081069,24.81560497,0.163519893,0.674852779,1001556.905,235340523.3,0.995399582,7.381918027
10.png,24,903,325,111,107,8974,357.0193324,0.88473348,19.93118097,0.115012095,0.641015961,862543.2153,200261432.1,0.995988849,8.012007802
10.png,25,1570,152,30,84,1760,197.0538235,0.569577467,38.48357964,0.152455339,0.549634049,495109.6417,121888944.5,0.991160553,7.445058043
10.png,26,500,87,95,112,8333,343.2203434,0.888925169,24.36854103,0.139638967,0.648125852,835485.4506,174818404.7,0.994291008,7.517507013
10.png,27,1445,26,123,117,10867,391.6467487,0.890287919,19.24751296,0.131900806,0.690165629,918746.9037,201822981.1,0.996076617,7.596967012
10.png,28,1579,0,21,70,1086,163.9411253,0.507766291,75.25357143,0.1455654,0.454681748,575107.469,130497162,0.981684672,7.759560618
10.png,29,1335,0,93,39,2667.5,230.12489,0.632975797,18.80685619,0.159753343,0.651239847,499144.3101,93859033.83,0.994340431,7.257325724
10.png,30,606,0,59,17,673.5,132.1837655,0.484385601,19.12271805,0.144509981,0.482586202,323627.9992,74281707.41,0.994164571,7.365641911
11.png,0,1522,1196,12,4,27,25.65685415,0.515426588,2.772727273,0.316554279,0.592245989,30.15552216,577.4627459,0.672323282,3.499461938
11.png,1,1185,1178,26,22,359,79.1126976,0.720795266,19.53272727,0.121757108,0.442652907,62154.07886,6051812.482,0.96757807,7.005388706
11.png,2,1196,1152,115,48,3020.5,281.5218583,0.478921642,15.12774123,0.119259699,0.60030345,-10183.82838,55502459.36,0.994434408,8.17258742
11.png,3,1515,1113,85,87,5727,304.1665201,0.777882908,12.26423098,0.098488,0.620290755,369677.1164,72245629.96,0.99535933,8.331292141
11.png,4,865,1083,107,109,8989,355.3624791,0.894495382,22.52899429,0.109950226,0.558630481,309633.6797,68435599.96,0.992346101,8.566764948
11.png,5,985,1078,117,122,10760,390.8183227,0.885262978,19.51349633,0.118580309,0.571514875,164193.0664,68552981.7,0.993577126,8.798408839
11.png,6,557,1069,112,104,9180,356.5340509,0.907508116,26.11408524,0.136185478,0.605773259,503505.8808,109280254.5,0.992695188,7.886553783
11.png,7,1105,1031,90,106,7160.5,332.3502866,0.81463131,17.85191859,0.090010181,0.569322516,719972.9987,203950086.9,0.996229332,9.021137608
11.png,8,741,1009,100,138,9971.5,389.40411,0.826360017,21.82747768,0.179424671,0.692627343,407823.374,96846924.02,0.994191426,7.389154222
11.png,9,1172,998,106,133,9661.5,411.0609647,0.718525107,23.69366273,0.138598873,0.65321464,1068422.413,246007123.2,0.994607262,7.967099258
11.png,10,613,946,110,111,9691.5,369.4629843,0.89219338,22.82858087,0.155189158,0.690495105,623299.9475,116793809.5,0.993337935,7.392524362
11.png,11,964,933,110,116,9959.5,374.7766932,0.89105036,22.93838975,0.14960283,0.629726149,547878.9278,113465298.9,0.993656551,7.769714581
11.png,12,1225,915,115,110,9302,362.8183228,0.88798939,25.90733652,0.137443748,0.608705114,445593.1307,95669665.78,0.992867986,8.094818497
11.png,13,271,913,111,124,9929.5,379.8893902,0.864615298,19.3111437,0.100471357,0.619837334,439288.1755,80865687.64,0.993219794,8.408871127
11.png,14,206,871,87,116,7401,336.8771968,0.819515249,21.53398156,0.142522115,0.612051046,515805.3603,99908685.77,0.993295493,7.796515887
11.png,15,425,856,110,114,9767,370.1909057,0.895611293,31.78287462,0.1320964,0.522828166,343469.0781,101740680.1,0.991958713,8.401507758
11.png,16,985,758,112,113,9892,371.0193325,0.903027325,25.52331978,0.110719325,0.538319032,129476.1571,73839475.66,0.992141502,8.792357007
11.png,17,1387,739,110,117,9852,372.6761867,0.891396616,21.6098173,0.124054881,0.56885803,186854.172,53518720.19,0.992396957,8.237213026
11.png,18,662,735,105,99,8098.5,337.8061293,0.891824502,20.5704157,0.107429468,0.623127972,191575.3806,56902159.22,0.992321589,8.175186149
11.png,19,0,688,16,80,923,172.7695522,0.388577053,107.405,0.194509711,0.463914855,373004.4249,84749887.32,0.970094135,7.098908902
11.png,20,376,675,96,111,8431.5,344.9777031,0.890292379,30.93304884,0.121428894,0.611964486,515707.6417,110245590.6,0.991256717,8.210686401
11.png,21,624,630,118,108,9538.5,372.0904001,0.865751031,17.79146882,0.126477739,0.594537354,129066.9387,39688658.11,0.992712598,8.050616943
11.png,22,840,617,124,119,11267.5,398.2325369,0.892820081,20.18671859,0.136165201,0.622471914,274170.0324,67452463.66,0.993474868,7.9338675
11.png,23,1060,607,115,112,8633,357.4457428,0.849085348,17.50297619,0.107347752,0.573667701,346410.0155,87951206.02,0.994400383,8.643320038
11.png,24,384,565,117,113,9064,372.4751787,0.820984743,19.22459567,0.110854362,0.603584955,479490.4744,94142637.67,0.993472346,8.374588961
11.png,25,1010,557,105,117,7213,372.9015855,0.65183449,14.42472058,0.085714526,0.53865144,292858.8833,83659878.95,0.995511961,9.058155947
11.png,26,1308,515,123,117,11164,395.1614677,0.898422278,15.27133249,0.129724667,0.631871719,269808.7666,56494640.9,0.994371397,7.913713606
11.png,27,427,501,113,116,8839.5,366.3746735,0.82753558,21.56696429,0.101712123,0.571870371,398932.3945,86732358.86,0.992724532,8.702537627
11.png,28,869,468,116,119,10598.5,385.4041098,0.896647176,22.57449763,0.099374194,0.526732834,-177809.9275,258973668.4,0.994588037,9.123117141
11.png,29,210,459,118,108,9793,370.676188,0.895645694,22.91049383,0.126154726,0.588159251,202944.5417,59348408.79,0.992180886,8.307810021
11.png,30,1210,414,105,85,6737,313.9066347,0.859162714,21.12330317,0.115657035,0.603430437,599422.9722,171959095,0.995726903,8.434057579
11.png,31,545,389,116,125,11314,398.3330413,0.896052331,25.48368696,0.120649243,0.539005481,143878.6552,57107118.23,0.99195449,8.532192718
11.png,32,1452,386,105,117,9235.5,362.0904001,0.885189503,27.51635437,0.136122327,0.588558841,638187.3146,161912608.4,0.994161092,8.300154551
11.png,33,937,371,153,153,17292,500.7005713,0.866760112,36.55766254,0.100694862,0.43807097,841295.4361,656294659.8,0.995860297,10.642639
11.png,34,122,327,121,117,10955,391.1614687,0.899725666,23.19807692,0.141818167,0.602006839,357096.3899,67608777.87,0.991989634,7.885950136
11.png,35,569,265,103,115,9164,359.3624791,0.891722004,34.17144075,0.120910797,0.49890407,195543.5862,82295230.26,0.99028501,8.742234469
11.png,36,230,257,102,124,9699.5,372.4335464,0.87874249,30.32785053,0.102527617,0.561194731,298221.4525,77583762.65,0.991067289,8.651693375
11.png,37,747,247,83,98,6175.5,297.6639951,0.87584928,33.5080886,0.10851762,0.509111688,473402.11,128085172.3,0.991935871,8.766390733
11.png,38,361,241,110,124,10419,384.3330414,0.886381038,27.71922166,0.13359983,0.561812346,315936.8982,79883993.62,0.991529851,8.233221926
11.png,39,0,220,82,113,7696.5,339.7228699,0.838018429,16.10313558,0.100653881,0.58008487,178509.759,39107511.86,0.993197942,8.322763821
11.png,40,1538,214,62,160,6272.5,392.5512958,0.511514211,16.38637295,0.09303589,0.594211589,794269.7899,180295117.7,0.995151867,8.586978964
11.png,41,1486,207,81,106,6543,311.4213542,0.847793352,23.89363208,0.103294112,0.515077085,477752.3403,120179608.7,0.993348543,8.795067699
11.png,42,996,114,118,123,10680.5,395.8893896,0.856354775,18.3587659,0.117959847,0.581590257,363107.0561,67499996.66,0.992794367,8.379300025
11.png,43,1588,106,12,55,441,118.2842709,0.39609053,130.9438017,0.091149195,0.254440474,131805.2294,60234266.43,0.95955109,8.331296483
11.png,44,871,90,124,121,11683.5,404.575682,0.896981069,19.84203454,0.110681234,0.577748659,189183.4115,71829463.24,0.993505709,8.561675359
11.png,45,441,63,112,109,9045,357.1614689,0.891023656,23.24919415,0.156098992,0.683888233,608371.54,116305827.3,0.99362642,7.301019035
11.png,46,1053,42,114,118,9740,375.3036026,0.868967141,21.56232188,0.105056698,0.556990182,404901.142,95242207.16,0.993324116,8.702613638
11.png,47,532,13,107,129,9740.5,379.5462447,0.849692367,29.24740383,0.124482536,0.576755283,302525.6558,66564799.31,0.990363684,8.301545903
11.png,48,1197,0,119,77,7346.5,344.0660158,0.779842303,22.77316751,0.113086187,0.548187316,343508.6006,80591317.96,0.993013309,8.652106343
11.png,49,668,0,20,6,65,43.31370831,0.435384021,15.07894737,0.101542429,0.344451766,19106.61153,18354238.27,0.991031323,7.150658081
2.png,0,488,1184,30,16,415,87.65685415,0.67871305,93.90086207,0.174335998,0.312507466,238492.3726,39940663.2,0.950568061,7.304721137
2.png,1,535,1141,122,59,5079.5,312.2081523,0.654850782,33.66521922,0.096956631,0.551366273,1468368.097,538107650.4,0.995434531,8.767406636
2.png,2,0,1118,100,82,7270.5,338.3259007,0.798185161,33.71569352,0.084251128,0.546997877,1853454.409,566209774.6,0.993968294,9.183215444
2.png,3,1467,1109,124,91,8401,370.2497815,0.770107277,33.71750201,0.057360025,0.501796115,978935.1782,475758561.1,0.995164997,10.03779777
2.png,4,658,1094,112,106,8977,362.5340537,0.858308622,35.71128676,0.082043981,0.457069748,494388.5683,229153427.5,0.993474914,9.81397256
2.png,5,130,1094,110,106,9399,362.3919185,0.899361941,45.10888004,0.088552609,0.45690052,566975.5701,219317514.3,0.991991962,9.632869653
2.png,6,1243,1092,139,108,12130.5,427.4629856,0.834241013,40.94981213,0.06959764,0.497809364,2382512.544,748510278.5,0.994006297,9.605953275
2.png,7,876,1063,102,114,7411.5,341.889392,0.79679156,43.13340281,0.083870482,0.474482868,889320.1237,578626657,0.995104124,10.01048911
2.png,8,479,1053,110,130,10195,412.6173135,0.752492542,36.21679605,0.057861163,0.447226833,749709.7088,330145392.1,0.993889848,10.33075089
2.png,9,1497,1038,103,101,7341,341.9066367,0.789132675,24.75402834,0.080943544,0.567214196,1132880.621,554503650.8,0.996660778,9.493493439
2.png,10,0,1031,79,86,5858.5,294.9533174,0.846232553,37.52176506,0.065875197,0.537486661,1341803.848,445089555.5,0.993731133,9.426959203
2.png,11,818,1025,110,119,8567,362.6173128,0.818731614,42.56086655,0.087274228,0.468412065,876446.0281,586927899.2,0.995375559,10.04161012
2.png,12,258,1018,132,119,11821.5,415.4041107,0.860876536,32.4948361,0.121400082,0.521831072,2370490.981,829976446,0.996859697,9.098430915
2.png,13,1311,1016,112,104,8593,353.0193348,0.866478301,42.42134442,0.081132152,0.433031609,617360.078,291249200.3,0.993187862,9.93742193
2.png,14,578,1015,115,124,10179,387.4457414,0.852105159,37.04470855,0.069052401,0.420081835,250075.3838,245791184.1,0.993701068,10.29206119
2.png,15,1063,997,131,124,11898.5,416.374671,0.862449101,40.31215881,0.164212793,0.579173245,2419741.415,957295228.2,0.996546081,8.724693581
2.png,16,389,975,114,122,10519.5,387.4041098,0.880798395,23.98998984,0.081800963,0.549696833,654740.5446,155034955.1,0.993727739,9.156460476
2.png,17,798,888,107,112,9233,360.1909058,0.8943082,67.76903639,0.081100293,0.469738012,1428418.283,562104957.1,0.991811842,9.961261384
2.png,18,914,867,124,133,12770,424.475176,0.890627636,36.80701754,0.067611499,0.443557907,389673.3519,291175760.5,0.994532696,10.01426109
2.png,19,1568,862,32,98,2615.5,239.0121925,0.575339878,31.42034233,0.103825001,0.582408405,2856082.694,868316029.3,0.995555519,7.975454566
2.png,20,1464,854,105,117,9846,373.2203443,0.888257897,52.91272189,0.083343059,0.470027062,250571.9131,349928520.7,0.993075191,9.97916387
2.png,21,43,842,113,116,10149,376.6761863,0.898869795,47.86807266,0.092239386,0.443068865,202430.8935,293802950.2,0.992682787,10.14500325
2.png,22,1272,833,89,97,6182,302.0487715,0.851500128,32.4346298,0.075120673,0.41564983,1364562.747,569205059.5,0.996104973,9.952509794
2.png,23,165,827,105,98,8130.5,337.8061299,0.895348408,27.41189168,0.076440494,0.50597961,298104.7247,147496493.2,0.993551707,9.431408009
2.png,24,375,819,99,106,6493,314.6173137,0.824308977,49.99046977,0.099334391,0.471615027,1034556.245,503802925.5,0.993834725,9.797750573
2.png,25,707,806,114,118,10472.5,383.2619728,0.895919051,44.20031498,0.075223108,0.495303454,395384.5957,226576514.9,0.992163452,9.573481602
2.png,26,1527,803,73,58,2537,231.5391047,0.594677671,26.99233716,0.09529132,0.543599509,179325.2095,169049894.4,0.994503522,8.952322793
2.png,27,1337,784,95,106,7372,328.8771983,0.856500582,44.60678442,0.059011207,0.36098055,604681.7971,401020061,0.993576802,10.54963415
2.png,28,373,782,65,101,2420,263.2203453,0.438920961,32.91398515,0.04880137,0.383900469,363970.1008,208114632,0.993627638,10.29879083
2.png,29,299,776,86,108,7454,336.7939367,0.8257921,42.54618736,0.07738718,0.497148562,500520.1569,313749400.4,0.993275718,9.750504835
2.png,30,495,775,135,122,12150.5,419.2030982,0.868870488,47.91950086,0.153238183,0.5386385,2070984.123,849969781.3,0.995594428,9.137991832
2.png,31,873,758,122,121,10171,391.1025958,0.83558786,39.17601257,0.048594883,0.402811148,907809.8738,412131824,0.994407446,10.62610656
2.png,32,1111,751,102,119,9341.5,363.6051209,0.887904997,35.31125718,0.089967996,0.53147758,810329.366,272427328.3,0.993878629,9.28435135
2.png,33,1527,749,73,53,2630.5,237.7817445,0.584643536,27.03904612,0.107013577,0.551723649,483045.5717,163604103.2,0.994241759,8.52564666
2.png,34,2,728,116,115,10184.5,378.9188287,0.891368339,33.14752363,0.11064046,0.508023953,563458.0787,243742337.8,0.994265341,9.436402865
2.png,35,794,709,118,103,8769,356.4751792,0.867164204,22.30711144,0.078392446,0.469600271,423448.1902,153310560,0.994065261,9.418875108
2.png,36,393,700,120,114,9929.5,381.4041115,0.857761409,39.35264632,0.074344182,0.474949447,973320.3513,294552465.6,0.993403231,9.982312803
2.png,37,932,688,108,107,8303.5,349.747257,0.853026297,33.77107171,0.081693747,0.473329414,486558.4693,510562797.8,0.996140845,9.875488465
2.png,38,1218,668,112,114,9526.5,374.0903997,0.855441095,34.43993994,0.081212877,0.438574685,460667.0471,252528601.5,0.994065074,10.03193156
2.png,39,157,665,112,94,8160,340.0487716,0.886783496,36.29087598,0.096662067,0.544013737,1125387.575,345796340.8,0.994440201,9.343299887
2.png,40,483,660,104,108,8110,345.0193328,0.856138163,36.32928803,0.06637994,0.418192135,591108.7545,292160289.8,0.993983038,10.15875238
